                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8924,                 4.9675,                  1.372,                0.08451,                0.34835,                0.10016,                0.03029,                 1.4026,                 4.4241,                 1.3984,                      0,                      0,                      0
                      2,                 1.6252,                 4.5079,                  1.382,                0.08434,                0.35407,                 0.1357,                0.06083,                 1.3785,                 3.9734,                 1.3318,             1.4149e-05,             1.4149e-05,             1.4149e-05
                      3,                 1.6704,                 3.6363,                 1.4063,                0.27191,                0.49836,                0.26297,                0.14553,                 1.2325,                 3.1838,                 1.2923,             2.8014e-05,             2.8014e-05,             2.8014e-05
                      4,                  1.171,                 3.1308,                 1.2961,                0.94256,                0.21569,                0.30554,                0.17544,                 1.1433,                 3.6402,                  1.253,             4.1597e-05,             4.1597e-05,             4.1597e-05
                      5,                 1.3732,                  2.508,                 1.1352,                0.66782,                0.58824,                 0.6018,                0.27413,                 1.1675,                  4.152,                 1.2128,             5.4896e-05,             5.4896e-05,             5.4896e-05
                      6,                 1.3247,                 1.9358,                  1.073,                0.71453,                0.58824,                0.59889,                0.30691,                 1.2345,                 4.7528,                 1.1661,             6.7913e-05,             6.7913e-05,             6.7913e-05
                      7,                 1.3902,                 1.8484,                 1.1687,                0.60235,                0.64706,                0.59848,                0.29677,                 1.3449,                 4.7376,                 1.1495,             8.0647e-05,             8.0647e-05,             8.0647e-05
                      8,                 1.3477,                 1.4785,                 1.1067,                0.65925,                0.64706,                0.67554,                0.37585,                  1.336,                 3.8381,                 1.1313,             9.3098e-05,             9.3098e-05,             9.3098e-05
                      9,                 1.1572,                 1.5831,                 1.2081,                0.57861,                0.81373,                 0.8493,                0.48815,                 1.2991,                 3.2986,                 1.1277,             0.00010527,             0.00010527,             0.00010527
                     10,                 1.2999,                 1.2499,                 1.1714,                0.67692,                0.81373,                0.87105,                0.52832,                 1.2836,                  2.823,                 1.1207,             0.00011715,             0.00011715,             0.00011715
                     11,                 1.1311,                 1.7144,                 1.2932,                0.91978,                0.54753,                  0.915,                0.59472,                 1.2534,                 2.6345,                 1.1147,             0.00012875,             0.00012875,             0.00012875
                     12,                 1.2277,                 1.1887,                 1.1319,                0.90647,                0.60996,                0.89043,                0.58029,                 1.2374,                 2.8801,                 1.1194,             0.00014007,             0.00014007,             0.00014007
                     13,                 1.1495,                 1.1468,                 1.2782,                0.94969,                0.62428,                0.81725,                0.56167,                 1.3914,                 3.6927,                 1.3342,             0.00015111,             0.00015111,             0.00015111
                     14,                 1.2157,                 1.1927,                 1.0362,                0.89285,                0.64706,                0.81246,                0.53779,                 1.5864,                 4.0242,                 1.5591,             0.00016186,             0.00016186,             0.00016186
                     15,                  1.286,                 1.2148,                 1.0368,                0.65037,                0.90269,                0.96833,                 0.5958,                 1.7033,                 3.7804,                 1.6098,             0.00017233,             0.00017233,             0.00017233
                     16,                 1.0289,                 1.1198,                 1.0277,                0.86075,                0.87673,                0.98947,                0.57651,                 1.5492,                 2.4168,                 1.3565,             0.00018252,             0.00018252,             0.00018252
                     17,                 1.4419,                 1.1677,                 1.1692,                0.88899,                0.97703,                0.99074,                0.57095,                 1.1859,                 1.5424,                 1.0952,             0.00019242,             0.00019242,             0.00019242
                     18,                 1.3282,                  1.105,                 1.0055,                0.88899,                0.97703,                0.99074,                0.57095,                 1.1859,                 1.5424,                 1.0952,             0.00020204,             0.00020204,             0.00020204
                     19,                 1.0509,                 1.2791,                 1.0927,                0.89653,                0.98398,                0.98244,                0.61637,                  1.235,                 2.2694,                 1.2004,             0.00021138,             0.00021138,             0.00021138
                     20,                 1.3456,                 1.0316,                 1.0792,                0.89653,                0.98398,                0.98244,                0.61637,                  1.235,                 2.2694,                 1.2004,             0.00022044,             0.00022044,             0.00022044
                     21,                 1.4928,                 1.0074,                 1.1494,                0.95512,                0.99584,                0.99074,                 0.6562,                 1.1966,                 1.9559,                 1.2285,             0.00022921,             0.00022921,             0.00022921
                     22,                 1.1597,                0.85511,                 1.0351,                0.95512,                0.99584,                0.99074,                 0.6562,                 1.1966,                 1.9559,                 1.2285,              0.0002377,              0.0002377,              0.0002377
                     23,                0.94435,                 1.1154,                 1.1615,                 0.9567,                0.99488,                0.98741,                 0.7048,                 1.3363,                 1.7995,                  1.335,             0.00024591,             0.00024591,             0.00024591
                     24,                0.92423,                 1.0251,                 1.0571,                 0.9567,                0.99488,                0.98741,                 0.7048,                 1.3363,                 1.7995,                  1.335,             0.00025383,             0.00025383,             0.00025383
                     25,                 1.1569,                 0.8454,                 1.0113,                0.93438,                      1,                0.99296,                0.67739,                  1.223,                 2.8752,                 1.1843,             0.00026147,             0.00026147,             0.00026147
                     26,                 1.0722,                 0.9101,                 1.1511,                0.93438,                      1,                0.99296,                0.67739,                  1.223,                 2.8752,                 1.1843,             0.00026883,             0.00026883,             0.00026883
                     27,                  1.238,                 1.0819,                 1.2476,                0.70668,                0.98039,                0.80231,                0.55866,                 1.2108,                 4.4434,                 1.1867,             0.00027591,             0.00027591,             0.00027591
                     28,                 1.2114,                 1.2947,                 1.3524,                0.70668,                0.98039,                0.80231,                0.55866,                 1.2108,                 4.4434,                 1.1867,              0.0002827,              0.0002827,              0.0002827
                     29,                 1.1129,                 1.1177,                 1.1134,                0.66105,                      1,                0.81643,                0.58515,                 1.1695,                 5.1146,                 1.2022,             0.00028921,             0.00028921,             0.00028921
                     30,                 1.1455,                0.97899,                 1.1232,                0.66105,                      1,                0.81643,                0.58515,                 1.1695,                 5.1146,                 1.2022,             0.00029543,             0.00029543,             0.00029543
                     31,                0.86191,                 1.1827,                 1.3717,                0.39103,                0.83333,                 0.5243,                0.40048,                 1.1578,                 10.267,                 1.2265,             0.00030138,             0.00030138,             0.00030138
                     32,                 1.2662,                 1.0843,                 1.0587,                0.39103,                0.83333,                 0.5243,                0.40048,                 1.1578,                 10.267,                 1.2265,             0.00030704,             0.00030704,             0.00030704
                     33,                 1.1297,                 1.0697,                 1.2431,                0.34649,                0.81373,                 0.3778,                0.28674,                 1.6236,                 27.645,                 1.3924,             0.00031241,             0.00031241,             0.00031241
                     34,                 1.1209,                0.81895,                  1.074,                0.34649,                0.81373,                 0.3778,                0.28674,                 1.6236,                 27.645,                 1.3924,             0.00031751,             0.00031751,             0.00031751
                     35,                 1.0575,                0.97454,                 1.0504,                0.34668,                0.54902,                 0.3619,                0.25092,                 1.2726,                 17.785,                 1.1746,             0.00032232,             0.00032232,             0.00032232
                     36,                0.88041,                 1.2298,                 1.1893,                0.34668,                0.54902,                 0.3619,                0.25092,                 1.2726,                 17.785,                 1.1746,             0.00032685,             0.00032685,             0.00032685
                     37,                 0.9899,                 1.0142,                 1.0842,                0.34416,                0.79587,                0.46193,                0.33107,                 1.0916,                 10.114,                 1.1314,             0.00033109,             0.00033109,             0.00033109
                     38,                 1.0611,                0.95478,                 1.0489,                0.34416,                0.79587,                0.46193,                0.33107,                 1.0916,                 10.114,                 1.1314,             0.00033506,             0.00033506,             0.00033506
                     39,                 1.1859,                0.90417,                0.97099,                0.42254,                0.81373,                0.69103,                0.46797,                 1.1361,                 10.196,                 1.1736,             0.00033874,             0.00033874,             0.00033874
                     40,                 1.0513,                0.88307,                 1.0419,                0.42254,                0.81373,                0.69103,                0.46797,                 1.1361,                 10.196,                 1.1736,             0.00034213,             0.00034213,             0.00034213
                     41,                 1.1714,                 0.9387,                 1.0227,                0.47905,                0.93868,                0.73594,                0.48985,                 1.1624,                 11.617,                 1.1432,             0.00034525,             0.00034525,             0.00034525
                     42,                 1.1478,                 1.0181,                 1.1468,                0.47905,                0.93868,                0.73594,                0.48985,                 1.1624,                 11.617,                 1.1432,             0.00034808,             0.00034808,             0.00034808
                     43,                 1.0399,                0.80661,                 1.0574,                0.64276,                0.89212,                0.77686,                0.54918,                 1.6336,                 7.9713,                 1.5358,             0.00035063,             0.00035063,             0.00035063
                     44,                0.83975,                 1.0836,                 1.2182,                0.64276,                0.89212,                0.77686,                0.54918,                 1.6336,                 7.9713,                 1.5358,             0.00035289,             0.00035289,             0.00035289
                     45,                0.90432,                 0.7762,                0.99024,                 0.7741,                0.88235,                0.81129,                0.59452,                 1.8281,                  3.144,                 1.5896,             0.00035487,             0.00035487,             0.00035487
                     46,                 1.0373,                0.90604,                 1.0985,                 0.7741,                0.88235,                0.81129,                0.59452,                 1.8281,                  3.144,                 1.5896,             0.00035657,             0.00035657,             0.00035657
                     47,                0.98908,                0.84088,                 1.0083,                0.81635,                0.95302,                 0.8597,                0.59866,                 1.5349,                 4.1466,                  1.429,             0.00035799,             0.00035799,             0.00035799
                     48,                 1.1536,                0.84301,                 1.1243,                0.81635,                0.95302,                 0.8597,                0.59866,                 1.5349,                 4.1466,                  1.429,             0.00035912,             0.00035912,             0.00035912
                     49,                 1.0497,                0.79678,                 1.1616,                0.71311,                      1,                0.86758,                0.60126,                 1.4974,                 3.3031,                 1.8769,             0.00035997,             0.00035997,             0.00035997
                     50,                 1.1001,                 1.0044,                 1.1177,                0.71311,                      1,                0.86758,                0.60126,                 1.4974,                 3.3031,                 1.8769,             0.00036054,             0.00036054,             0.00036054
                     51,                 1.0901,                0.93447,                 1.0862,                0.62227,                      1,                0.87273,                0.57864,                 1.3246,                 5.1738,                  1.532,             0.00036082,             0.00036082,             0.00036082
                     52,                 1.2144,                0.88593,                 1.1107,                0.62227,                      1,                0.87273,                0.57864,                 1.3246,                 5.1738,                  1.532,             0.00036082,             0.00036082,             0.00036082
                     53,                0.93149,                0.97526,                 1.0921,                0.62227,                      1,                0.87273,                0.57864,                 1.3246,                 5.1738,                  1.532,             0.00036054,             0.00036054,             0.00036054
                     54,                 1.1436,                0.97333,                 1.2335,                0.56663,                0.94083,                0.81877,                0.55943,                 1.4075,                 11.102,                 1.6296,             0.00035998,             0.00035998,             0.00035998
                     55,                 1.0458,                0.75962,                  1.037,                0.56663,                0.94083,                0.81877,                0.55943,                 1.4075,                 11.102,                 1.6296,             0.00035913,             0.00035913,             0.00035913
                     56,                 1.1226,                 1.1481,                  1.374,                0.56663,                0.94083,                0.81877,                0.55943,                 1.4075,                 11.102,                 1.6296,               0.000358,               0.000358,               0.000358
                     57,                 1.0275,                0.79141,                0.98791,                0.77839,                0.56863,                0.68305,                0.46788,                 1.0001,                 7.0998,                 1.2165,             0.00035659,             0.00035659,             0.00035659
                     58,                 1.0122,                 0.8377,                 1.1002,                0.77839,                0.56863,                0.68305,                0.46788,                 1.0001,                 7.0998,                 1.2165,             0.00035489,             0.00035489,             0.00035489
                     59,                0.91449,                 0.7744,                 1.0195,                0.77839,                0.56863,                0.68305,                0.46788,                 1.0001,                 7.0998,                 1.2165,             0.00035291,             0.00035291,             0.00035291
                     60,                  1.048,                0.86262,                  1.073,                0.78658,                0.60784,                0.63798,                0.43152,                0.95156,                 4.7807,                 1.1844,             0.00035065,             0.00035065,             0.00035065
                     61,                 1.1642,                0.79439,                 1.0496,                0.78658,                0.60784,                0.63798,                0.43152,                0.95156,                 4.7807,                 1.1844,              0.0003481,              0.0003481,              0.0003481
                     62,                0.99832,                 1.2029,                 1.2712,                0.78658,                0.60784,                0.63798,                0.43152,                0.95156,                 4.7807,                 1.1844,             0.00034528,             0.00034528,             0.00034528
                     63,                 1.0995,                0.73896,                0.96495,                0.59334,                0.83333,                0.70043,                0.48041,                 1.0864,                 5.6837,                 1.2226,             0.00034217,             0.00034217,             0.00034217
                     64,                 1.1061,                0.92277,                  1.138,                0.59334,                0.83333,                0.70043,                0.48041,                 1.0864,                 5.6837,                 1.2226,             0.00033877,             0.00033877,             0.00033877
                     65,                 1.1235,                0.88525,                 1.0167,                0.59334,                0.83333,                0.70043,                0.48041,                 1.0864,                 5.6837,                 1.2226,             0.00033509,             0.00033509,             0.00033509
                     66,                 1.0443,                0.95214,                 1.3022,                0.47941,                0.83333,                 0.5641,                0.30924,                 1.3518,                 6.8141,                  1.207,             0.00033114,             0.00033114,             0.00033114
                     67,                 1.2033,                0.87314,                 1.1488,                0.47941,                0.83333,                 0.5641,                0.30924,                 1.3518,                 6.8141,                  1.207,             0.00032689,             0.00032689,             0.00032689
                     68,                 1.0642,                0.64923,                 1.0245,                0.47941,                0.83333,                 0.5641,                0.30924,                 1.3518,                 6.8141,                  1.207,             0.00032237,             0.00032237,             0.00032237
                     69,                 1.1887,                0.93938,                 1.2046,                0.80547,                0.88812,                0.90238,                 0.6186,                 1.1326,                 3.0004,                 1.2473,             0.00031756,             0.00031756,             0.00031756
                     70,                 1.1624,                0.78923,                 1.0975,                0.80547,                0.88812,                0.90238,                 0.6186,                 1.1326,                 3.0004,                 1.2473,             0.00031247,             0.00031247,             0.00031247
                     71,                 1.1059,                0.86878,                 1.0739,                0.80547,                0.88812,                0.90238,                 0.6186,                 1.1326,                 3.0004,                 1.2473,             0.00030709,             0.00030709,             0.00030709
                     72,                 1.1188,                0.80557,                   1.09,                0.93902,                      1,                  0.995,                0.66724,                 1.2099,                 1.6938,                 1.2889,             0.00030143,             0.00030143,             0.00030143
                     73,                0.89533,                0.96703,                 1.2577,                0.93902,                      1,                  0.995,                0.66724,                 1.2099,                 1.6938,                 1.2889,             0.00029549,             0.00029549,             0.00029549
                     74,                 1.1962,                 0.8167,                 1.0493,                0.93902,                      1,                  0.995,                0.66724,                 1.2099,                 1.6938,                 1.2889,             0.00028927,             0.00028927,             0.00028927
                     75,                 1.0851,                0.78689,                 1.0511,                0.94125,                0.96815,                  0.995,                0.66228,                 1.2566,                 1.3016,                 1.2745,             0.00028276,             0.00028276,             0.00028276
                     76,                0.93643,                0.69629,                 1.0478,                0.94125,                0.96815,                  0.995,                0.66228,                 1.2566,                 1.3016,                 1.2745,             0.00027598,             0.00027598,             0.00027598
                     77,                 1.0006,                0.73693,                 1.0928,                0.94125,                0.96815,                  0.995,                0.66228,                 1.2566,                 1.3016,                 1.2745,              0.0002689,              0.0002689,              0.0002689
                     78,                0.96581,                0.74064,                 1.0102,                 0.9295,                0.96319,                0.99121,                0.63883,                 1.2596,                 1.5169,                 1.3195,             0.00026155,             0.00026155,             0.00026155
                     79,                 1.0602,                0.79439,                  1.083,                 0.9295,                0.96319,                0.99121,                0.63883,                 1.2596,                 1.5169,                 1.3195,             0.00025391,             0.00025391,             0.00025391
                     80,                 1.1584,                0.72817,                 1.0105,                 0.9295,                0.96319,                0.99121,                0.63883,                 1.2596,                 1.5169,                 1.3195,             0.00024599,             0.00024599,             0.00024599
                     81,                 1.1776,                 0.8401,                 1.1772,                0.87171,                0.94118,                0.97846,                0.65319,                 1.1578,                 1.9622,                 1.2031,             0.00023779,             0.00023779,             0.00023779
                     82,                0.93473,                0.77148,                 1.0843,                0.87171,                0.94118,                0.97846,                0.65319,                 1.1578,                 1.9622,                 1.2031,              0.0002293,              0.0002293,              0.0002293
                     83,                 1.0287,                0.91249,                  1.168,                0.87171,                0.94118,                0.97846,                0.65319,                 1.1578,                 1.9622,                 1.2031,             0.00022053,             0.00022053,             0.00022053
                     84,                0.88291,                0.88499,                 1.1017,                0.91242,                      1,                  0.995,                0.70392,                 1.0765,                 1.3015,                 1.1069,             0.00021148,             0.00021148,             0.00021148
                     85,                 1.0727,                0.67251,                0.95212,                0.91242,                      1,                  0.995,                0.70392,                 1.0765,                 1.3015,                 1.1069,             0.00020214,             0.00020214,             0.00020214
                     86,                 1.0791,                0.76454,                 1.0212,                0.91242,                      1,                  0.995,                0.70392,                 1.0765,                 1.3015,                 1.1069,             0.00019252,             0.00019252,             0.00019252
                     87,                0.98369,                0.73682,                 1.1233,                0.91242,                      1,                  0.995,                0.70392,                 1.0765,                 1.3015,                 1.1069,             0.00018262,             0.00018262,             0.00018262
                     88,                0.96005,                0.64638,                0.98507,                0.94515,                      1,                  0.995,                0.68089,                 1.0099,                0.89522,                 1.0047,             0.00017244,             0.00017244,             0.00017244
                     89,                 0.9318,                0.65587,                 0.9379,                0.94515,                      1,                  0.995,                0.68089,                 1.0099,                0.89522,                 1.0047,             0.00016197,             0.00016197,             0.00016197
                     90,                 1.0516,                0.71568,                 1.0256,                0.94515,                      1,                  0.995,                0.68089,                 1.0099,                0.89522,                 1.0047,             0.00015122,             0.00015122,             0.00015122
                     91,                 1.3004,                0.90079,                 1.1418,                0.94515,                      1,                  0.995,                0.68089,                 1.0099,                0.89522,                 1.0047,             0.00014018,             0.00014018,             0.00014018
                     92,                0.94084,                0.70345,                0.99733,                0.95455,                0.99123,                  0.995,                0.69637,                0.99068,                0.82417,                0.97904,             0.00012887,             0.00012887,             0.00012887
                     93,                  1.024,                0.70249,                 1.0718,                0.95455,                0.99123,                  0.995,                0.69637,                0.99068,                0.82417,                0.97904,             0.00011727,             0.00011727,             0.00011727
                     94,                 1.0662,                0.72613,                 1.1346,                0.95455,                0.99123,                  0.995,                0.69637,                0.99068,                0.82417,                0.97904,             0.00010539,             0.00010539,             0.00010539
                     95,                0.96125,                0.73623,                 1.0008,                0.95455,                0.99123,                  0.995,                0.69637,                0.99068,                0.82417,                0.97904,             9.3222e-05,             9.3222e-05,             9.3222e-05
                     96,                0.98885,                0.71699,                0.99152,                0.95264,                0.98925,                  0.995,                0.69516,                 0.9646,                0.79307,                0.95223,             8.0774e-05,             8.0774e-05,             8.0774e-05
                     97,                 1.0074,                0.71562,                 1.0388,                0.95264,                0.98925,                  0.995,                0.69516,                 0.9646,                0.79307,                0.95223,             6.8043e-05,             6.8043e-05,             6.8043e-05
                     98,                0.90678,                0.86709,                0.91437,                0.95264,                0.98925,                  0.995,                0.69516,                 0.9646,                0.79307,                0.95223,             5.5029e-05,             5.5029e-05,             5.5029e-05
                     99,                 1.0411,                0.76941,                 1.0408,                0.95264,                0.98925,                  0.995,                0.69516,                 0.9646,                0.79307,                0.95223,             4.1733e-05,             4.1733e-05,             4.1733e-05
                    100,                 1.0379,                0.74317,                0.92518,                0.95122,                0.98665,                  0.995,                0.69921,                0.93923,                0.72472,                0.94112,             2.8153e-05,             2.8153e-05,             2.8153e-05
